,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,text,label,label_text
0,15,34,278,es_0698004,"No me ha llegado el producto , he recibido paquete con varios productos y me falta este . Y no se como reclamarlo. Si alguien me ayuda",0,0
1,19,30,168,es_0577922,El producto se ve bueno pero viene dañado por la mensajería que habrán puesto algo en cima que pesa y se ha quedado la marca abollado todos los filtros se manda foto de todos como están con la marca atentamente Miguel.....,0,0
2,27,53,16,es_0486958,"Para empezar son muy grandes los discos para ser de 2,5 kilos.. luego son discos de arena q se abren con la mirada. Vinieron dos discos rajados , me.imagino por el peso y por algún golpe.. si no tenéis premium no merece la pena ni enviarlo de devolución ya te cobran más de lo q te van a devolver casi... Decepcionante producto..",0,0
3,26,13,126,es_0209509,Solo la he utilizado 1 una vez y se descosió la parte trasera que va al cinturón. De usar y tirar.,0,0
4,8,64,77,es_0857510,"Súper pequeñas las correas, para una muñeca muy pequeña, y el cierre es malo , fácil de perder el reloj",0,0
5,24,31,301,es_0395307,"No me ha llegado todavía va tardisimo después de esperar una barbaridad, no merece la pena esperar tanto para lo que es",0,0
6,21,19,275,es_0454942,"La peor cámara que he tenido en mis manos. Dos veces la he tenido que reemplazar al primer día de uso. Al final con la mitad de accesorios comprados la he tenido que devolver y no comprarla más. La cámara se queda congelada. Se cargaba la batería cuando ella quería y se descargaba sola sin usarla. Problemas de actualización, vamos si quieres tirar el dinero cómprate está cámara. Una gran decepción. Esperaba que está cámara funcionara bien pero ha sido una pesadilla. Amazon me dijo que la iba a quitar de la venta por que había muchísimas devoluciones de esta cámara",0,0
7,12,28,163,es_0735511,El mismo día de ponerlo se despega la parte de arriba,0,0
8,32,47,45,es_0982034,"Lamentable servicio ofrecido por esta empresa. De primeras nos ofrecen un plazo de entrega de mes y medio (que al final ha estado mas cerca de dos) y cuando se ha cumplido, sin comunicacion previa, nos avisan que nos devuelven el importe del pedido por rotura del paquete ??????!!!!. Una completa decepcion.",0,0
9,9,12,319,es_0299845,"Este es mi segundo par, el primero me empezó a fallar el audio, al parecer lo que falla es la conexión de la parte de los auriculares, probablemente culpa de la parte de goma. Pensé que fue mala suerte, pero tras comprarlos de nuevo, me volvió a ocurrir exactamente lo mismo, esta vez sorprendentemente rápido, no ha llegado a 2 meses. Y lo peor es que literalmente no los transporto nunca ni nada que pueda dar pie a dañarlos.... siempre estan conectados al monitor de mi PC y de ahi no se mueven. Comprar esto es tirar el dinero, la calidad de audio es genial pero de que sirve si se estropean enseguida.... estoy bastante molesto con este producto.",0,0
10,0,36,182,es_0256839,Nunca llegó el pedido ..... aún sigo esperándolo,0,0
11,4,45,72,es_0294721,Viene con la ficha de seguridad y no sé quitarla.,0,0
12,16,48,101,es_0301551,"Pues lo compre, y yo que soy de los que lleva el móvil por los bolsillos en una semana ya se había roto la pieza de arriba, en 3 la de abajo. y bueno, pues al final me decepcionó porque pesé a que era barato cómo no me ha durado nada..... no repetiré.",0,0
13,17,7,180,es_0698675,"Lo devolví a primeros de enero,pero todavía no me han abonado el dinero,espero que pronto se pueda arreglar el tema",0,0
14,5,40,33,es_0213888,Compré este pack con la intención de no tener que estra comprando cada dos por tres. He sustituido unos 8-10 cartuchos. De ellos 5 no los reconoce la impresora y de hecho los de color negro más anchos he tenido que tirar tres completamente cargados. También me ha pasado con los de colores. O he tenido mala suerte o son de mala calidad.,0,0
15,13,0,25,es_0083892,La calidad no corresponde con el precio y además la bombilla viene rota,0,0
16,11,59,179,es_0463265,"No puedo decir nada, pues tuve que hacer la devolución ya que me enviaron Call of Duty advance Warfare y en ingles, asi que me quede sin este juego.",0,0
17,44,94,610,es_0744281,"He pedido sommier y colcho y han llegado con 2 envios distintos, el sommier ha tardado mucho en llegar, total que me habia llegado el colchon y no tenia sommier.",1,1
18,41,99,488,es_0899145,Me gusta el precio pero no la durabilidad,1,1
19,34,70,548,es_0228410,"Aunque es la evolución de la primera minicuna que representa que tiene cosas mejoradas, antes habría comprado otra. Tiene ruedas en los cuatro extremos pero no giran, por lo tanto solo va hacia delante o hacia detrás y no puede girar, cosa completamente inútil si hay que moverla de una sala a la otra. Al final tengo la cuna estática y pienso que podría haber comprado otra más barata. Además las patas son tan largas que no pasan por las puertas de casa que son puertas normales, tuvimos que cortar un poco los cuatro extremos. Imagino que haciéndolas un poco más estrechas la cuna sería igual de confortable y estable. La opción de balanceo no la he hecho servir nunca. A parte de esto la cuna es ancha y comfortable.",1,1
20,57,105,665,es_0615436,El llavero es muy voluminosos y el pelaje se le desprende. No apto para que lo manipulen niños pequeños porque se podrían tragar esos pelos que suelta.,1,1
21,39,125,388,es_0747374,Tallan pequeños. Les falta más elastan para que sean más fáciles de poner.,1,1
22,55,130,613,es_0707017,"Es una silla que está muy bien,comoda y bonita pero no aconsejo su compra por un defecto que tiene del diseño del fabricante que la palanca que tiene para regular el respaldo roza con la tapicería y eso causa que se rompa por la zona de la palanca adjunto imágenes para que lo vean por ese motivo es mis solo 2 estrellas,en resumen bonita de calidad pero mal diseñada por el fabricante por el fallo que e descrito.",1,1
23,50,93,423,es_0566166,"Pues eso,,, muy bonitas en la foto pero luego nada que ver... el color lo unico.. el diseño real es bastante feo...y luego son enormes...",1,1
24,46,86,354,es_0174841,"Es un zapato muy cómodo, pero no son de buena calidad.",1,1
25,59,71,400,es_0312584,Me decepcionó esperaba otra cosa.,1,1
26,62,69,527,es_0347303,hace poca luz e tenido de otras casas i dan muy buen resultado este mas caro i poca calidad no es recomendable,1,1
27,66,77,404,es_0418497,"El producto corresponde con lo anunciado, pero siempre está encendido. No sirve para nada el botón, o no le encuentro utilidad. Se gastan más rápido las pilas.",1,1
28,43,79,411,es_0238214,"Compré esta correa, por ver un poco la diferencia con otra que había comprado. La diferencia es grande. La otra es robusta y se pasea perfectamente con ella, con esta que se estira muchísimo, y que es menos robusta, no es posible tener ningún tipo de control sobre los perros. Con la otra se pueden mover y pasear sin ir al lado mío, pero con esta el perro se te va de varas",1,1
29,35,115,634,es_0992273,"Son baratos y se nota en la calidad. Tienen un olor bastante químico para lo que estoy acostumbrado. He probado un par de sabores y no están mal, pero todos ellos dejan un efecto de frío como la menta, aunque cada uno con su sabor. Los uso cuando me quedo sin una opción mejor.",1,1
30,47,108,480,es_0997036,"Amazon, maquinaria sorda, envia tus productos a tiempo que a tiempo cobras. Existen otros proveedores mas cuidadosos con los clientes.",1,1
31,60,127,381,es_0040383,"Son muy monas, pero al poco la mitad ya no van.",1,1
32,58,133,567,es_0757725,"Compra realizada a principios de Junio, lógicamente para reponer los anteriores. No han tenido mucha utilización durante este período. Mal funcionamiento recientemente. Nulo color y mala impresión en b/n, Da la sensación de que la tinta se ha secado. He hecho prueba de alineación y mi impresora HP DeskJet 3050 anuncia en pantalla: ""Cartucho falso o de mala calidad"". El hecho de haberlo utilizado muy esporádicamente , creo no debería afectar al buen funcionamiento. Me abstendré de futuras compras.",1,1
33,37,118,364,es_0482917,"He pedido tres fundas de esta marca pero, cuando he puesto una de ellas, si bien el terminal queda precioso porque no engorda, no me la he querido jugar y la he quitado porque la protección ante una caída es NULA. Son de plástico del más barato que pueda existir. He vuelto a la de silicona ESR que ofrece mucha más protección",1,1
34,70,180,752,es_0799227,"Tal y como se anuncia, está pendiente de utilizarse. Se va a utilizar como regalo, de Navidad para una pequeña.",2,2
35,68,154,908,es_0686895,Me ha gustado el color y el pespunte lateral Y lo que no es los borde metálicos del cierre del interior de la correa que tocan la piel tienen ángulos no redondeados que terminan molestando.,2,2
36,94,189,815,es_0062372,Pensé que era más grande,2,2
37,90,199,702,es_0352622,Sí que es verdad que en el paquete no pone free gluten. Lo compre por un tema de estreñimiento no sé si es pronto para comentar pero en mi caso creo que no me está ayudando. Supongo que acabe el paquete y no compré más ya que en mi caso no cumple su función.,2,2
38,80,152,997,es_0670800,"Nos engañó la foto, pensamos que eran más grandes. No son compatibles con los niños muy pequeños, se los pueden tragar.",2,2
